token	corpus size	all contexts size	frequency	co-frequency	specificity
de o	5772	4457	315	301	19.62
o	5772	4457	505	445	10.51
um	5772	4457	137	129	7.34
e	5772	4457	181	166	6.93
”	5772	4457	54	53	4.89
de	5772	4457	231	201	4.32
em o	5772	4457	98	90	4.09
que	5772	4457	114	101	3.09
a o	5772	4457	44	42	3.04
bom	5772	4457	43	41	2.95
desenhar	5772	4457	26	26	2.93
brasil	5772	4457	25	25	2.81
transplante	5772	4457	21	21	2.36
órgão	5772	4457	20	20	2.25
dois	5772	4457	17	17	1.91
como	5772	4457	36	33	1.78
família	5772	4457	36	33	1.78
poder	5772	4457	15	15	1.69
saúde	5772	4457	15	15	1.69
humano	5772	4457	14	14	1.57
função	5772	4457	14	14	1.57
para	5772	4457	64	55	1.52
sobre	5772	4457	13	13	1.46
sangue	5772	4457	42	37	1.44
seu	5772	4457	46	40	1.38
ser	5772	4457	143	116	1.35
são	5772	4457	12	12	1.35
paulo	5772	4457	12	12	1.35
em	5772	4457	54	46	1.29
átrio	5772	4457	11	11	1.24
saudável	5772	4457	11	11	1.24
fazer	5772	4457	11	11	1.24
por	5772	4457	42	36	1.18
“	5772	4457	49	41	1.09
doença	5772	4457	15	14	1.04
por o	5772	4457	20	18	1.03
cada	5772	4457	9	9	1.01
camada	5772	4457	9	9	1.01
cavidade	5772	4457	9	9	1.01
longo	5772	4457	9	9	1.01
vez	5772	4457	14	13	0.96
mais	5772	4457	23	20	0.93
muscular	5772	4457	8	8	0.90
quatro	5772	4457	8	8	0.90
relação	5772	4457	8	8	0.90
unidade	5772	4457	8	8	0.90
federativo	5772	4457	8	8	0.90
todo	5772	4457	18	16	0.90
com	5772	4457	38	31	0.88
a	5772	4457	49	38	0.87
se	5772	4457	29	24	0.83
meu	5772	4457	12	11	0.80
—	5772	4457	7	7	0.79
transplantar	5772	4457	7	7	0.79
contração	5772	4457	7	7	0.79
mente	5772	4457	7	7	0.79
abrir	5772	4457	7	7	0.79
escola	5772	4457	7	7	0.79
doenças	5772	4457	7	7	0.79
isquêmico	5772	4457	7	7	0.79
ter	5772	4457	26	20	0.74
pessoa	5772	4457	11	10	0.72
estar	5772	4457	23	18	0.71
cidade	5772	4457	6	6	0.67
mercado	5772	4457	6	6	0.67
direito	5772	4457	6	6	0.67
esquerdo	5772	4457	6	6	0.67
bater	5772	4457	6	6	0.67
tempo	5772	4457	6	6	0.67
funcionar	5772	4457	6	6	0.67
movimento	5772	4457	6	6	0.67
cultura	5772	4457	6	6	0.67
proteger	5772	4457	6	6	0.67
importante	5772	4457	6	6	0.67
mas	5772	4457	6	6	0.67
ou	5772	4457	6	6	0.67
razão	5772	4457	6	6	0.67
amor	5772	4457	6	6	0.67
cultivar	5772	4457	6	6	0.67
fundo	5772	4457	6	6	0.67
parte	5772	4457	10	9	0.65
válvula	5772	4457	10	9	0.65
anatomia	5772	4457	13	11	0.63
principal	5772	4457	9	8	0.59
viver	5772	4457	5	5	0.56
após	5772	4457	5	5	0.56
receber	5772	4457	5	5	0.56
ciclo	5772	4457	5	5	0.56
caminhada	5772	4457	5	5	0.56
candidato	5772	4457	5	5	0.56
significado	5772	4457	5	5	0.56
próprio	5772	4457	5	5	0.56
–	5772	4457	5	5	0.56
ficar	5772	4457	5	5	0.56
cerebrovasculares	5772	4457	5	5	0.56
aquecer	5772	4457	5	5	0.56
onde	5772	4457	11	9	0.55
