token	corpus size	all contexts size	frequency	co-frequency	specificity
и	16256	12296	574	531	26.30
в	16256	12296	416	375	13.91
—	16256	12296	175	160	7.39
от	16256	12296	134	125	7.25
на	16256	12296	150	134	4.95
твоего	16256	12296	38	38	4.61
а	16256	12296	55	53	4.49
чтобы	16256	12296	36	36	4.37
своего	16256	12296	44	43	4.19
из	16256	12296	86	79	4.16
как	16256	12296	85	78	4.07
для	16256	12296	62	58	3.75
о	16256	12296	68	63	3.70
всего	16256	12296	37	36	3.41
не	16256	12296	169	145	3.39
что	16256	12296	126	110	3.31
их	16256	12296	63	58	3.26
его	16256	12296	73	66	3.09
по	16256	12296	66	60	3.00
но	16256	12296	24	24	2.91
так	16256	12296	22	22	2.67
моего	16256	12296	22	22	2.67
–	16256	12296	78	69	2.63
укрепления	16256	12296	20	20	2.43
они	16256	12296	20	20	2.43
может	16256	12296	34	32	2.36
с	16256	12296	103	88	2.27
к	16256	12296	97	83	2.21
про	16256	12296	18	18	2.18
сосудов	16256	12296	24	23	2.02
Строение	16256	12296	16	16	1.94
ваши	16256	12296	16	16	1.94
священные	16256	12296	16	16	1.94
предметы	16256	12296	16	16	1.94
хранящиеся	16256	12296	16	16	1.94
памятника	16256	12296	16	16	1.94
которые	16256	12296	15	15	1.82
через	16256	12296	15	15	1.82
укрепить	16256	12296	15	15	1.82
потому	16256	12296	15	15	1.82
до	16256	12296	22	21	1.82
человека	16256	12296	69	59	1.76
кровь	16256	12296	33	30	1.74
свое	16256	12296	14	14	1.70
Интересные	16256	12296	14	14	1.70
факты	16256	12296	14	14	1.70
самом	16256	12296	32	29	1.66
есть	16256	12296	32	29	1.66
у	16256	12296	62	53	1.64
со	16256	12296	13	13	1.58
вашего	16256	12296	13	13	1.58
пред	16256	12296	13	13	1.58
вы	16256	12296	25	23	1.54
около	16256	12296	12	12	1.46
имеет	16256	12296	12	12	1.46
боль	16256	12296	12	12	1.46
заболеваний	16256	12296	12	12	1.46
становится	16256	12296	12	12	1.46
ибо	16256	12296	12	12	1.46
да	16256	12296	12	12	1.46
работы	16256	12296	24	22	1.45
за	16256	12296	39	34	1.43
строение	16256	12296	11	11	1.33
камеры	16256	12296	11	11	1.33
наше	16256	12296	11	11	1.33
болит	16256	12296	11	11	1.33
Почему	16256	12296	11	11	1.33
болезнь	16256	12296	11	11	1.33
раз	16256	12296	11	11	1.33
слово	16256	12296	11	11	1.33
вам	16256	12296	11	11	1.33
Богу	16256	12296	11	11	1.33
часть	16256	12296	11	11	1.33
ты	16256	12296	11	11	1.33
же	16256	12296	17	16	1.32
чем	16256	12296	16	15	1.23
более	16256	12296	16	15	1.23
работу	16256	12296	16	15	1.23
левое	16256	12296	10	10	1.21
знать	16256	12296	10	10	1.21
проводящей	16256	12296	10	10	1.21
системе	16256	12296	10	10	1.21
миокард	16256	12296	10	10	1.21
между	16256	12296	10	10	1.21
говорят	16256	12296	10	10	1.21
нам	16256	12296	10	10	1.21
твое	16256	12296	10	10	1.21
o	16256	12296	10	10	1.21
всей	16256	12296	21	19	1.21
или	16256	12296	47	39	1.14
только	16256	12296	20	18	1.13
сокращаться	16256	12296	9	9	1.09
которого	16256	12296	9	9	1.09
ума	16256	12296	9	9	1.09
кровью	16256	12296	9	9	1.09
то	16256	12296	33	28	1.09
это	16256	12296	53	43	1.06
ли	16256	12296	19	17	1.06
•	16256	12296	19	17	1.06
также	16256	12296	14	13	1.04
работает	16256	12296	27	23	1.00
сосуды	16256	12296	18	16	0.98
является	16256	12296	18	16	0.98
когда	16256	12296	18	16	0.98
происходит	16256	12296	8	8	0.97
сокращается	16256	12296	8	8	0.97
половину	16256	12296	8	8	0.97
камер	16256	12296	8	8	0.97
другие	16256	12296	8	8	0.97
которое	16256	12296	8	8	0.97
которых	16256	12296	8	8	0.97
Цитаты	16256	12296	8	8	0.97
цитаты	16256	12296	8	8	0.97
злого	16256	12296	8	8	0.97
почти	16256	12296	8	8	0.97
мои	16256	12296	8	8	0.97
В	16256	12296	64	50	0.97
можно	16256	12296	22	19	0.96
ваше	16256	12296	13	12	0.95
ритма	16256	12296	13	12	0.95
Господь	16256	12296	13	12	0.95
Как	16256	12296	52	41	0.94
либо	16256	12296	52	41	0.94
состоит	16256	12296	17	15	0.91
время	16256	12296	17	15	0.91
во	16256	12296	21	18	0.90
кого	16256	12296	21	18	0.90
будет	16256	12296	12	11	0.87
образом	16256	12296	12	11	0.87
Господа	16256	12296	12	11	0.87
эндокард	16256	12296	7	7	0.85
болеть	16256	12296	7	7	0.85
работа	16256	12296	7	7	0.85
лет	16256	12296	7	7	0.85
ИБС	16256	12296	7	7	0.85
пересадка	16256	12296	7	7	0.85
будут	16256	12296	7	7	0.85
самого	16256	12296	7	7	0.85
ум	16256	12296	7	7	0.85
один	16256	12296	7	7	0.85
человеческое	16256	12296	7	7	0.85
нашего	16256	12296	7	7	0.85
тому	16256	12296	7	7	0.85
ткани	16256	12296	7	7	0.85
тебя	16256	12296	7	7	0.85
ее	16256	12296	7	7	0.85
половине	16256	12296	7	7	0.85
сеть	16256	12296	7	7	0.85
упорству	16256	12296	7	7	0.85
себя	16256	12296	16	14	0.85
Что	16256	12296	20	17	0.84
я	16256	12296	20	17	0.84
крови	16256	12296	31	25	0.84
все	16256	12296	32	25	0.80
при	16256	12296	26	21	0.79
находится	16256	12296	11	10	0.78
слой	16256	12296	11	10	0.78
бы	16256	12296	15	13	0.78
души	16256	12296	15	13	0.78
оно	16256	12296	22	18	0.77
если	16256	12296	18	15	0.75
системы	16256	12296	18	15	0.75
кто	16256	12296	21	17	0.74
после	16256	12296	6	6	0.73
под	16256	12296	6	6	0.73
выглядит	16256	12296	6	6	0.73
правое	16256	12296	6	6	0.73
