token	corpus size	all contexts size	frequency	co-frequency	specificity
の	41754	4831	1729	312	15.69
を	41754	4831	1029	199	13.08
は	41754	4831	887	169	10.73
、	41754	4831	1747	291	10.59
体	41754	4831	24	16	9.56
折れ	41754	4831	9	9	8.43
と	41754	4831	660	125	8.06
「	41754	4831	457	90	6.83
安定	41754	4831	7	7	6.56
が	41754	4831	959	161	6.54
読める	41754	4831	12	9	6.25
」	41754	4831	459	86	5.69
なにか	41754	4831	6	6	5.62
僕	41754	4831	35	14	4.87
に	41754	4831	1132	174	4.76
何	41754	4831	137	33	4.73
好奇	41754	4831	5	5	4.68
軽く	41754	4831	5	5	4.68
呼ん	41754	4831	5	5	4.68
で	41754	4831	579	98	4.54
について	41754	4831	48	16	4.35
扱う	41754	4831	8	6	4.28
こと	41754	4831	467	81	4.27
理解	41754	4831	59	18	4.24
どの	41754	4831	12	7	3.93
弱い	41754	4831	12	7	3.93
ひとつ	41754	4831	4	4	3.75
整える	41754	4831	4	4	3.75
保つ	41754	4831	4	4	3.75
折れる	41754	4831	4	4	3.75
飲み込ま	41754	4831	4	4	3.75
優しく	41754	4831	4	4	3.75
か	41754	4831	221	43	3.67
いく	41754	4831	46	14	3.45
様々	41754	4831	18	8	3.39
諸	41754	4831	5	4	3.10
根本	41754	4831	5	4	3.10
自覚	41754	4831	8	5	3.10
よう	41754	4831	168	33	3.09
なり	41754	4831	73	18	3.06
トリ	41754	4831	3	3	2.81
セツ	41754	4831	3	3	2.81
考察	41754	4831	3	3	2.81
全体	41754	4831	3	3	2.81
明確	41754	4831	3	3	2.81
耐性	41754	4831	3	3	2.81
一時	41754	4831	3	3	2.81
たち	41754	4831	65	16	2.79
自分	41754	4831	162	31	2.79
ない	41754	4831	225	40	2.78
な	41754	4831	394	63	2.76
特集	41754	4831	6	4	2.68
わから	41754	4831	6	4	2.68
出会い	41754	4831	6	4	2.68
も	41754	4831	333	54	2.61
状態	41754	4831	23	8	2.60
痛み	41754	4831	10	5	2.55
て	41754	4831	784	111	2.45
という	41754	4831	218	37	2.35
一種	41754	4831	4	3	2.26
操れる	41754	4831	4	3	2.26
治療	41754	4831	4	3	2.26
奥	41754	4831	4	3	2.26
働く	41754	4831	4	3	2.26
傷	41754	4831	4	3	2.26
そして	41754	4831	16	6	2.25
領域	41754	4831	16	6	2.25
機	41754	4831	16	6	2.25
語る	41754	4831	8	4	2.12
エネルギー	41754	4831	8	4	2.12
覚え	41754	4831	8	4	2.12
声	41754	4831	8	4	2.12
制	41754	4831	17	6	2.12
において	41754	4831	13	5	2.00
いる	41754	4831	197	32	1.94
する	41754	4831	266	41	1.94
知見	41754	4831	5	3	1.92
起こる	41754	4831	5	3	1.92
イメージ	41754	4831	9	4	1.91
襲わ	41754	4831	9	4	1.91
生き方	41754	4831	9	4	1.91
緊張	41754	4831	19	6	1.88
とらえる	41754	4831	2	2	1.87
をめぐって	41754	4831	2	2	1.87
古く	41754	4831	2	2	1.87
適用	41754	4831	2	2	1.87
読み解く	41754	4831	2	2	1.87
分から	41754	4831	2	2	1.87
モヤ	41754	4831	2	2	1.87
均衡	41754	4831	2	2	1.87
―	41754	4831	2	2	1.87
飛	41754	4831	2	2	1.87
竹	41754	4831	2	2	1.87
仕組み	41754	4831	2	2	1.87
基地	41754	4831	2	2	1.87
付き合い	41754	4831	2	2	1.87
益田	41754	4831	2	2	1.87
落ち着か	41754	4831	2	2	1.87
崩れ	41754	4831	2	2	1.87
引き金	41754	4831	2	2	1.87
刻み込ん	41754	4831	2	2	1.87
がち	41754	4831	2	2	1.87
直結	41754	4831	2	2	1.87
腹式呼吸	41754	4831	2	2	1.87
試す	41754	4831	2	2	1.87
聞か	41754	4831	2	2	1.87
デトックス	41754	4831	2	2	1.87
我慢	41754	4831	2	2	1.87
SOS	41754	4831	2	2	1.87
育てる	41754	4831	2	2	1.87
寄り添える	41754	4831	2	2	1.87
労う	41754	4831	2	2	1.87
ほぐれ	41754	4831	2	2	1.87
高め	41754	4831	2	2	1.87
学者	41754	4831	14	5	1.86
い	41754	4831	126	22	1.85
時	41754	4831	25	7	1.84
学	41754	4831	128	22	1.79
概念	41754	4831	10	4	1.75
学問	41754	4831	10	4	1.75
における	41754	4831	10	4	1.75
発揮	41754	4831	10	4	1.75
働き	41754	4831	10	4	1.75
られる	41754	4831	21	6	1.69
過剰	41754	4831	6	3	1.67
素直	41754	4831	6	3	1.67
人	41754	4831	143	23	1.60
別	41754	4831	11	4	1.60
多く	41754	4831	11	4	1.60
自我	41754	4831	29	7	1.54
バランス	41754	4831	23	6	1.52
場所	41754	4831	7	3	1.48
修行	41754	4831	12	4	1.48
安心	41754	4831	12	4	1.48
意義	41754	4831	3	2	1.45
いただき	41754	4831	3	2	1.45
たとえ	41754	4831	3	2	1.45
議論	41754	4831	3	2	1.45
