item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3	count part-4	specif part-4	count part-5	specif part-5	count part-6	specif part-6	count part-7	specif part-7	count part-8	specif part-8	count part-9	specif part-9	count part-10	specif part-10	count part-11	specif part-11	count part-12	specif part-12	count part-13	specif part-13	count part-14	specif part-14	count part-15	specif part-15	count part-16	specif part-16	count part-17	specif part-17	count part-18	specif part-18	count part-19	specif part-19	count part-20	specif part-20	count part-21	specif part-21	count part-22	specif part-22	count part-23	specif part-23	count part-24	specif part-24	count part-25	specif part-25	count part-26	specif part-26	count part-27	specif part-27	count part-28	specif part-28	count part-29	specif part-29	count part-30	specif part-30	count part-31	specif part-31	count part-32	specif part-32	count part-33	specif part-33	count part-34	specif part-34	count part-35	specif part-35	count part-36	specif part-36	count part-37	specif part-37	count part-38	specif part-38	count part-39	specif part-39	count part-40	specif part-40	count part-41	specif part-41	count part-42	specif part-42	count part-43	specif part-43	count part-44	specif part-44	count part-45	specif part-45	count part-46	specif part-46	count part-47	specif part-47	count part-48	specif part-48	count part-49	specif part-49	count part-50	specif part-50
	16256		81		438		205		168		618		301		67		40		164		706		928		276		983		343		238		309		741		24		459		31		18		166		310		293		128		226		291		105		178		126		617		302		100		205		2734		276		693		177		192		426		168		66		180		87		235		100		89		389		146		113
сердца	1057	6	0.80	23	-1.33	15	1.02	18	1.91	35	-1.32	22	1.12	7	1.12	4	0.84	5	-1.61	23	-4.40	115	11.32	5	-3.77	27	-7.66	9	-3.26	17	1.03	11	-2.06	35	-2.11	0	-0.70	13	-3.78	0	-0.91	0	-0.53	8	-1.03	35	3.30	28	1.97	7	-0.86	15	0.97	30	2.43	3	-1.27	11	0.91	6	-0.93	34	-1.38	14	-1.38	5	-0.83	6	-1.96	257	10.50	24	1.51	10	-10.27	0	-5.20	6	-1.75	33	1.36	16	1.47	7	1.14	18	1.69	8	1.04	17	1.04	6	0.79	11	1.78	32	1.52	10	0.89	10	1.08
сердце	719	3	0.66	14	-1.35	9	0.87	2	-1.83	33	1.40	11	-1.01	3	0.64	0	-0.79	11	1.29	51	3.76	20	-4.19	27	4.22	48	1.33	18	1.13	12	0.97	24	2.56	37	1.29	1	0.43	40	4.72	0	-0.61	2	0.84	13	1.76	14	0.96	4	-2.64	12	2.16	9	-0.89	14	0.98	7	1.05	7	0.84	7	0.89	33	1.40	15	1.02	6	0.90	15	1.72	18	-35.52	10	-0.99	53	4.46	22	5.08	12	1.22	19	1.02	5	-0.95	1	-0.81	4	-1.25	0	-1.71	7	-1.11	8	1.37	5	0.80	19	1.07	9	1.07	5	0.74
и	574	3	0.64	14	-1.00	9	0.96	6	0.78	20	-1.07	10	0.90	2	0.57	2	0.60	4	-0.84	23	-1.10	24	-1.69	6	-1.17	34	1.15	15	1.12	4	-1.35	7	-1.19	18	-1.69	0	0.37	6	-2.73	2	0.69	0	0.28	5	0.78	14	1.14	16	1.60	3	-0.77	4	-1.25	9	-0.91	3	0.67	9	1.10	5	0.76	20	-1.07	3	-2.39	6	1.10	12	1.52	175	16.14	5	-1.39	5	-6.03	0	-2.78	3	-1.25	11	-1.19	7	0.86	2	0.57	3	-1.14	1	-0.86	7	-0.87	1	-1.00	4	0.75	19	1.44	6	0.81	7	1.23
в	416	0	-0.91	13	1.01	7	0.94	5	0.77	19	1.16	9	0.92	0	-0.76	0	-0.45	1	-1.22	20	1.08	20	-1.18	2	-1.70	28	1.18	13	1.35	8	0.97	10	1.01	32	2.88	0	0.27	8	-1.15	1	0.44	2	1.18	1	-1.23	8	0.85	5	-0.96	3	0.65	4	-0.84	1	-2.41	3	0.65	3	-0.78	3	0.65	19	1.17	10	1.03	1	-0.71	2	-1.15	65	-1.36	8	0.87	12	-1.42	22	9.11	1	-1.47	17	1.67	2	-0.91	0	-0.74	8	1.31	1	-0.62	4	-0.88	3	0.66	3	0.69	4	-1.75	3	0.68	2	0.63
—	175	1	0.43	5	0.75	0	-0.97	1	0.53	3	-1.22	5	0.93	1	0.45	0	0.19	4	1.16	0	-3.39	14	1.29	5	1.00	4	-1.94	7	1.34	0	-1.13	8	1.90	11	1.14	0	0.11	32	16.66	0	0.15	0	0.08	2	0.57	3	0.65	6	1.24	0	-0.60	8	2.63	0	-1.38	1	0.43	2	0.56	1	0.45	3	-1.21	11	3.48	0	-0.47	1	-0.62	29	1.09	3	0.64	0	-3.33	0	-0.84	0	-0.91	0	-2.03	0	-0.79	0	0.31	0	-0.85	1	0.43	1	-0.70	0	-0.47	0	0.42	2	-0.88	0	-0.69	0	-0.53
не	169	0	0.37	2	-0.97	0	-0.94	0	-0.77	5	-0.83	1	-0.87	0	0.30	0	0.18	3	0.82	14	2.06	2	-2.61	4	0.79	14	1.25	3	0.67	0	-1.09	11	3.52	6	-0.88	0	0.11	0	-2.11	0	0.14	0	0.08	2	0.57	1	-0.90	1	-0.85	2	0.63	0	-1.03	2	-0.65	1	0.43	0	-0.81	1	0.45	5	-0.82	6	1.24	0	-0.46	2	0.56	62	9.62	2	0.63	5	-0.92	0	-0.81	0	-0.88	4	0.71	1	0.52	0	0.30	0	-0.82	0	0.40	2	0.58	2	0.72	0	0.41	3	-0.71	0	-0.67	0	-0.51
на	150	3	1.49	6	0.97	1	0.54	0	-0.68	6	0.79	5	1.07	1	0.47	0	0.16	2	0.59	6	0.79	11	1.05	2	0.59	9	0.86	2	-0.67	0	-0.97	1	-0.79	18	3.95	1	0.75	0	-1.87	0	0.12	0	0.07	0	-0.67	0	-1.26	1	-0.75	0	-0.52	1	-0.59	3	0.65	0	0.42	0	-0.72	1	0.44	6	0.79	8	2.30	1	0.43	4	1.10	17	-1.77	2	0.59	17	3.81	0	-0.72	3	0.80	2	-0.82	0	-0.68	1	0.48	0	-0.73	1	0.44	4	0.98	0	0.40	0	0.36	3	0.67	0	-0.59	1	0.43
от	134	0	0.29	3	0.67	0	-0.74	1	0.46	3	-0.87	4	0.88	1	0.49	1	0.62	0	-0.59	1	-1.81	6	-0.87	1	-0.63	4	-1.29	4	0.80	1	0.56	2	0.59	0	-2.73	0	0.09	1	-1.08	0	0.11	0	0.06	0	-0.60	1	-0.71	4	0.89	1	0.43	3	0.77	1	-0.66	1	0.43	2	0.60	0	-0.45	3	-0.87	0	-1.10	0	0.36	2	0.57	65	16.86	0	-1.00	8	1.03	0	-0.64	0	-0.69	4	0.72	1	0.46	1	0.50	2	0.60	1	0.45	0	-0.85	0	0.36	0	0.32	0	-1.42	0	-0.53	1	0.43
что	126	0	0.27	4	0.72	0	-0.70	2	0.63	1	-1.43	5	1.26	0	0.23	0	0.14	1	0.45	7	0.90	1	-2.34	3	0.71	19	3.87	3	0.65	0	-0.81	4	0.90	7	0.87	1	0.81	6	1.10	1	0.72	0	0.06	0	-0.56	0	-1.06	0	-1.00	0	-0.43	2	0.57	0	-0.99	0	0.36	1	0.46	3	1.24	1	-1.43	3	0.68	0	0.34	1	0.49	24	1.14	6	1.83	9	1.33	0	-0.60	0	-0.65	3	0.65	1	0.45	0	0.22	0	-0.61	0	0.29	3	0.78	0	0.34	0	0.30	3	0.64	0	-0.50	1	0.43
